a,b,c,d,target
17.5,25.0,0.11,25.0,10.0
17.0,25.0,0.22,20.6,25.0
8.33,10.0,0.33,10.0,10.0
7.36,10.0,0.24,11.67,10.0
10.6,15.0,0.11,15.0,15.0
24.75,25.0,0.13,25.0,25.0
12.33,15.0,0.22,15.0,10.0
7.33,7.0,0.15,7.33,7.0
14.38,25.0,0.19,22.5,23.0
12.91,20.0,0.16,20.0,25.0
23.73,35.0,0.14,40.0,45.0
7.29,10.0,0.21,8.4,11.0
15.0,15.0,0.08,15.0,30.0
20.0,20.0,0.08,20.0,20.0
12.75,20.0,0.12,17.0,20.0
6.75,10.0,0.17,6.75,7.0
10.53,10.0,0.29,13.33,15.0
6.36,10.0,0.21,7.75,10.0
6.67,11.0,0.22,10.0,20.0
17.09,18.0,0.16,18.0,18.0
9.73,10.0,0.19,16.67,10.0
7.69,3.0,0.21,12.5,3.0
13.09,17.0,0.19,17.33,17.0
4.53,4.0,0.27,4.57,5.0
14.22,15.0,0.15,15.0,20.0
11.0,15.0,0.11,13.0,12.5
8.0,10.0,0.13,10.0,10.0
12.5,20.0,0.1,12.5,11.0
10.0,15.0,0.1,10.0,10.0
9.55,10.0,0.19,10.0,10.0
4.22,6.0,0.55,5.77,5.0
8.4,8.0,0.13,14.0,14.0
31.0,50.0,0.1,50.0,50.0
8.0,15.0,0.15,10.67,10.0
30.0,30.0,0.05,30.0,50.0
20.0,20.0,0.09,20.0,20.0
9.17,10.0,0.18,12.5,5.0
10.8,20.0,0.2,11.75,15.0
6.0,15.0,0.48,15.0,7.5
8.33,10.0,0.19,9.0,10.0
15.0,15.0,0.08,15.0,21.0
8.22,14.0,0.29,13.0,14.0
20.0,20.0,0.07,20.0,25.0
20.0,20.0,0.07,20.0,20.0
20.0,20.0,0.07,20.0,20.0
12.33,10.0,0.19,10.0,20.0
20.43,50.0,0.19,50.0,1.0
4.9,3.0,0.29,4.6,4.0
10.82,10.0,0.14,9.0,10.0
5.12,10.0,0.34,10.0,10.0
7.6,9.0,0.16,8.75,10.0
8.8,10.0,0.2,8.8,9.0
3.47,10.0,0.54,4.1,3.0
7.14,7.0,0.42,8.0,7.0
36.0,36.0,0.08,36.0,36.0
11.5,13.0,0.41,11.55,15.0
16.25,15.0,0.12,20.0,20.0
16.33,25.0,0.15,0.0,25.0
6.14,20.0,0.15,10.0,10.0
5.53,10.0,0.28,5.0,5.0
12.2,19.0,0.25,18.0,20.0
7.5,3.0,0.13,11.0,10.0
7.9,10.0,0.18,9.6,10.0
10.38,12.0,0.3,12.0,16.0
15.0,15.0,0.07,15.0,15.0
6.67,10.0,0.18,6.67,6.0
9.43,10.0,0.21,14.0,14.0
23.0,23.0,0.1,23.0,23.0
11.0,10.0,0.21,10.0,10.0
20.0,20.0,0.09,20.0,20.0
7.62,10.0,0.36,7.5,10.0
12.55,15.0,0.17,15.5,10.0
10.4,15.0,0.11,13.5,15.0
10.4,16.0,0.14,12.0,19.0
10.0,15.0,0.16,12.67,10.0
11.0,12.0,0.18,12.75,15.0
20.0,20.0,0.08,20.0,10.0
15.0,20.0,0.1,20.0,25.0
6.58,5.0,0.4,5.67,10.0
4.29,10.0,0.34,5.0,8.0
8.75,10.0,0.15,8.75,5.0
11.18,12.0,0.29,11.33,15.0
10.82,22.0,0.26,13.33,22.0
5.87,5.0,0.25,7.5,10.0
5.2,5.0,0.2,5.75,6.0
4.43,5.0,0.4,5.5,5.0
13.0,25.0,0.13,25.0,30.0
12.4,20.0,0.1,20.0,20.0
15.0,15.0,0.07,15.0,15.0
8.6,11.0,0.13,13.0,15.0
9.06,10.0,0.23,10.5,10.0
6.18,7.0,0.41,6.5,5.0
13.39,15.0,0.21,15.67,17.0
20.0,20.0,0.07,20.0,25.0
12.2,19.0,0.12,18.0,22.0
5.74,20.0,0.25,8.4,5.0
5.11,10.0,0.19,6.25,6.0
21.5,25.0,0.11,25.0,25.0
6.29,10.0,0.36,8.4,10.0
8.0,16.0,0.24,14.0,16.0
12.23,15.0,0.25,16.0,21.0
20.0,20.0,0.06,20.0,20.0
8.48,10.0,0.27,13.0,10.0
12.5,16.0,0.12,13.33,14.0
7.27,4.0,0.19,10.5,8.0
3.41,4.0,0.27,4.25,4.0
8.67,10.0,0.24,13.0,10.0
15.0,15.0,0.08,15.0,21.0
10.0,15.0,0.13,15.0,21.0
6.27,10.0,0.21,7.5,10.0
9.8,15.0,0.2,14.05,15.0
9.83,10.0,0.43,10.75,10.0
12.36,17.0,0.2,17.75,16.0
11.25,15.0,0.12,11.67,14.0
5.0,5.0,0.22,5.0,5.0
13.2,20.0,0.15,20.0,20.0
20.0,20.0,0.07,20.0,20.0
15.0,15.0,0.12,15.0,11.0
7.61,10.0,0.25,11.25,10.0
9.57,10.0,0.38,10.0,10.0
16.4,20.0,0.14,19.0,20.0
20.4,27.0,0.09,24.0,20.0
15.0,20.0,0.08,12.5,20.0
15.0,15.0,0.08,15.0,25.0
3.81,5.0,0.37,4.12,4.0
18.42,25.0,0.24,20.12,24.0
13.56,17.0,0.22,16.0,23.0
15.62,30.0,0.14,24.33,30.0
6.43,7.0,0.17,7.4,7.0
5.18,6.0,0.32,6.33,6.0
7.25,10.0,0.16,7.25,8.0
8.2,15.0,0.2,15.0,15.0
8.33,12.0,0.17,10.67,12.0
10.12,15.0,0.14,15.0,13.0
15.0,15.0,0.07,15.0,10.0
12.5,15.0,0.1,12.5,25.0
12.5,15.0,0.14,11.67,15.0
5.67,6.0,0.32,7.25,7.0
8.8,20.0,0.16,14.5,20.0
3.19,5.0,0.57,3.57,3.0
8.21,5.0,0.22,7.5,5.0
5.71,3.0,0.29,7.14,6.0
20.0,20.0,0.07,20.0,20.0
10.23,20.0,0.22,20.0,20.0
5.0,5.0,0.24,5.0,5.0
12.25,20.0,0.12,20.0,20.0
5.57,13.0,0.21,9.67,13.0
8.89,12.0,0.24,10.5,10.0
5.06,5.0,0.38,5.0,5.0
4.89,5.0,0.36,5.62,7.0
6.22,10.0,0.32,9.4,15.0
26.67,25.0,0.46,25.0,10.0
3.72,6.0,0.33,4.0,5.0
10.33,10.0,0.2,10.0,12.0
14.11,12.0,0.25,11.0,16.0
5.12,5.0,0.42,5.18,5.0
13.57,25.0,0.12,14.0,14.0
5.4,10.0,0.34,7.83,7.0
3.73,5.0,0.22,4.2,1.0
5.67,5.0,0.33,6.11,25.0
10.22,10.0,0.3,11.4,15.0
3.69,4.0,0.32,4.12,4.0
3.27,20.0,0.35,11.67,20.0
6.1,10.0,0.67,11.67,10.0
8.67,12.0,0.21,10.25,11.0
5.25,8.0,0.21,6.5,7.0
11.67,15.0,0.08,15.0,15.0
15.0,15.0,0.3,12.5,50.0
5.38,11.0,0.28,10.33,10.0
7.0,12.0,0.23,11.5,15.0
13.14,17.0,0.26,17.0,25.0
6.17,6.0,0.21,6.0,6.0
15.52,20.0,0.29,19.57,25.0
10.09,15.0,0.17,14.0,10.0
19.38,25.0,0.12,25.0,25.0
3.61,5.0,0.65,3.92,4.0
9.71,13.0,0.21,11.2,12.0
6.92,10.0,0.32,9.0,10.0
8.53,10.0,0.24,11.5,12.0
7.69,5.0,0.2,8.5,3.0
18.18,100.0,0.19,10.0,15.0
10.67,10.0,0.14,11.0,10.0
7.33,5.0,0.16,5.0,10.0
13.0,10.0,0.19,11.0,11.0
5.23,5.0,0.25,5.71,6.0
10.58,15.0,0.31,13.0,15.0
15.0,20.0,0.09,20.0,30.0
20.88,25.0,0.13,25.0,10.0
20.0,20.0,0.06,20.0,20.0
4.4,10.0,0.3,6.0,12.0
28.0,28.0,0.06,28.0,25.0
6.85,12.0,0.2,10.5,16.0
10.6,14.0,0.15,14.0,12.0
3.86,7.0,0.33,5.6,5.0
20.0,20.0,0.08,20.0,25.0
23.0,20.0,0.12,21.67,30.0
5.07,5.0,0.55,5.2,5.0
11.33,12.0,0.14,11.33,11.0
7.36,15.0,0.25,9.6,20.0
15.0,15.0,0.17,19.0,23.0
20.0,20.0,0.06,20.0,30.0
44.7,25.0,0.11,25.0,7.0
20.46,33.0,0.21,23.33,30.0
15.0,15.0,0.09,20.0,10.0
11.86,15.0,0.12,15.0,15.0
9.73,14.0,0.17,12.67,14.0
9.69,10.0,0.31,8.75,10.0
6.08,7.0,0.25,7.57,8.0
5.0,5.0,0.25,5.0,5.0
4.47,5.0,0.33,4.22,4.0
8.0,7.0,0.28,7.71,8.0
5.5,6.0,0.32,6.14,8.0
7.13,10.0,0.31,8.5,10.0
17.0,25.0,0.09,20.0,25.0
15.14,15.0,0.3,15.29,21.0
14.0,20.0,0.09,20.0,25.0
6.08,20.0,0.18,13.5,10.0
11.56,10.0,0.15,11.33,19.0
6.33,10.0,0.24,7.5,2.0
8.27,11.0,0.24,10.33,11.0
12.5,15.0,0.08,15.0,17.0
7.24,13.0,0.23,13.0,15.0
8.77,11.0,0.19,11.0,11.0
17.18,22.0,0.16,22.33,23.0
12.5,20.0,0.1,12.5,11.0
20.0,25.0,0.12,15.0,25.0
32.33,32.0,0.12,32.33,41.0
15.2,20.0,0.1,20.0,20.0
8.13,13.0,0.24,12.0,14.0
17.4,22.0,0.1,21.0,22.0
19.0,20.0,0.14,18.75,20.0
25.0,20.0,0.13,25.0,20.0
15.0,15.0,0.08,0.0,20.0
24.27,25.0,0.29,25.0,15.0
15.78,18.0,0.19,15.88,17.0
5.47,7.0,0.29,6.8,5.0
5.62,5.0,0.24,6.17,6.0
5.6,15.0,0.17,12.5,20.0
15.1,19.0,0.16,19.0,21.0
13.75,20.0,0.12,16.67,10.0
15.0,15.0,0.08,15.0,20.0
6.35,10.0,0.26,8.2,10.0
4.4,6.0,0.31,4.56,5.0
10.0,15.0,0.12,15.0,15.0
5.5,7.0,0.25,6.0,5.0
38.75,60.0,0.12,51.67,50.0
10.6,16.0,0.12,15.0,16.0
7.29,10.0,0.19,10.0,10.0
15.2,21.0,0.1,21.0,26.0
5.27,5.0,0.25,8.75,5.0
9.5,11.0,0.36,11.0,12.0
10.71,15.0,0.16,12.0,10.0
9.5,10.0,0.17,11.67,14.0
8.7,15.0,0.2,10.2,15.0
7.29,10.0,0.25,7.6,10.0
8.33,6.0,0.17,12.67,10.0
6.54,5.0,0.3,10.0,8.0
6.33,8.0,0.14,7.5,10.0
11.83,20.0,0.18,20.0,15.0
26.95,25.0,0.2,36.0,10.0
5.28,5.0,0.52,5.0,7.0
9.06,15.0,0.23,14.8,15.0
7.0,7.0,0.19,7.0,7.0
6.93,25.0,0.21,15.0,3.0
5.75,10.0,0.26,8.67,9.0
26.25,20.0,0.11,29.0,25.0
12.0,16.0,0.12,12.0,13.0
7.78,10.0,0.29,10.0,10.0
13.17,17.0,0.11,17.0,10.0
13.17,20.0,0.12,16.0,20.0
9.87,10.0,0.2,13.0,13.0
10.17,12.0,0.16,10.5,12.0
6.11,15.0,0.18,5.75,2.0
15.0,15.0,0.07,15.0,10.0
7.5,12.0,0.2,12.0,12.0
15.0,20.0,0.13,18.33,20.0
21.69,25.0,0.25,22.43,25.0
13.07,15.0,0.19,16.0,17.0
13.86,20.0,0.13,20.0,20.0
17.5,15.0,0.1,20.0,15.0
11.33,20.0,0.13,17.5,10.0
5.7,10.0,0.23,10.67,11.0
10.74,15.0,0.32,13.33,10.0
11.5,6.0,0.14,15.0,10.0
8.92,5.0,0.29,10.62,5.0
12.6,13.0,0.29,12.43,15.0
7.75,10.0,0.24,10.0,10.0
10.61,10.0,0.18,16.0,10.0
2.36,5.0,0.33,4.25,2.0
5.5,6.0,0.26,6.0,6.0
8.75,10.0,0.33,10.5,10.0
9.36,14.0,0.16,12.67,15.0
15.0,20.0,0.1,20.0,20.0
6.04,5.0,0.35,13.75,5.0
6.54,11.0,0.23,10.0,10.0
26.33,41.0,0.15,37.67,41.0
8.8,12.0,0.2,10.14,10.0
3.5,4.0,0.36,4.88,5.0
7.5,11.0,1.0,9.5,10.0
20.0,20.0,0.06,20.0,20.0
20.0,20.0,0.1,20.0,35.0
11.5,18.0,0.1,17.0,18.0
9.2,14.0,0.29,14.0,14.0
9.25,20.0,0.15,15.0,25.0
7.04,10.0,0.33,10.0,12.0
21.67,25.0,0.09,21.67,5.0
20.0,20.0,0.07,20.0,20.0
20.83,36.0,0.11,36.0,51.0
10.83,12.0,0.19,12.0,15.0
25.0,25.0,0.07,25.0,15.0
8.04,12.0,0.31,11.2,12.0
6.4,10.0,0.19,7.25,8.0
10.33,15.0,0.1,13.0,15.0
6.8,10.0,0.22,6.8,9.0
5.15,5.0,0.27,5.0,5.0
3.78,5.0,0.32,4.71,5.0
9.46,13.0,0.59,12.09,11.0
16.33,17.0,0.13,16.33,16.0
25.0,25.0,0.07,25.0,10.0
3.31,3.0,0.28,4.0,4.0
17.1,20.0,0.17,17.5,20.0
12.4,20.0,0.15,16.0,20.0
18.27,15.0,0.16,23.8,24.0
11.25,10.0,0.22,13.75,10.0
20.0,20.0,0.08,20.0,20.0
7.33,7.0,0.14,7.33,11.0
7.47,11.0,0.26,10.29,9.0
9.67,15.0,0.09,12.0,17.0
9.94,14.0,0.24,14.5,14.0
25.0,25.0,0.08,25.0,25.0
10.5,20.0,0.12,17.5,15.0
8.63,10.0,0.28,10.0,15.0
4.09,4.0,0.26,4.0,2.0
12.33,20.0,0.12,8.5,16.0
4.43,3.0,0.25,4.5,8.0
3.86,6.0,0.26,4.25,5.0
9.75,15.0,0.19,12.0,15.0
10.27,25.0,0.15,25.0,5.0
15.0,15.0,0.13,15.0,20.0
6.15,9.0,0.31,8.0,7.0
15.67,15.0,0.17,18.0,20.0
15.54,20.0,0.31,20.0,20.0
10.88,12.0,0.12,15.0,10.0
4.69,5.0,0.27,5.33,5.0
5.22,5.0,0.31,5.57,5.0
9.1,15.0,0.15,15.0,20.0
8.58,12.0,0.26,11.0,10.0
5.71,10.0,0.47,6.0,5.0
11.86,15.0,0.2,15.0,10.0
8.22,10.0,0.31,10.17,15.0
15.22,25.0,0.28,25.0,25.0
5.8,6.0,0.19,5.8,6.0
10.0,10.0,0.15,10.0,10.0
11.56,15.0,0.2,13.5,15.0
6.33,10.0,0.29,6.67,5.0
8.75,10.0,0.17,8.75,16.0
20.14,25.0,0.12,25.0,25.0
11.1,15.0,0.28,13.5,15.0
5.19,1.0,0.21,9.67,11.0
7.5,10.0,0.23,8.75,10.0
10.0,10.0,0.21,10.0,5.0
5.17,5.0,0.25,5.5,7.0
11.33,24.0,0.17,21.0,10.0
6.0,10.0,0.32,6.8,10.0
11.43,15.0,0.15,13.75,15.0
5.7,7.0,0.36,6.71,6.0
15.0,15.0,0.07,0.0,21.0
8.5,10.0,0.52,10.0,10.0
20.0,20.0,0.07,20.0,10.0
10.0,15.0,0.1,10.0,15.0
7.33,11.0,0.23,10.0,11.0
6.33,7.0,0.26,7.0,9.0
15.0,20.0,0.17,19.0,20.0
8.97,15.0,0.38,11.75,5.0
17.17,20.0,0.15,18.5,20.0
6.3,5.0,0.26,5.33,5.0
9.47,14.0,0.14,13.26,12.0
15.0,15.0,0.08,15.0,20.0
20.0,15.0,0.21,20.71,10.0
14.2,15.0,0.08,14.2,15.0
9.52,10.0,0.29,10.0,10.0
4.92,5.0,0.48,5.0,5.0
11.94,14.0,0.45,13.08,20.0
9.19,10.0,0.24,12.0,10.0
17.5,15.0,0.13,20.0,25.0
9.56,10.0,0.27,9.75,10.0
35.0,50.0,0.1,35.0,25.0
13.0,20.0,0.12,15.67,20.0
9.86,16.0,0.13,15.0,16.0
4.83,5.0,0.21,4.83,5.0
12.6,15.0,0.12,14.5,20.0
15.0,15.0,0.08,15.0,15.0
9.86,15.0,0.13,15.0,13.0
21.74,20.0,0.08,25.0,5.0
9.75,16.0,0.11,16.0,16.0
28.0,32.0,0.15,28.0,28.0
15.0,15.0,0.08,15.0,15.0
8.08,15.0,0.25,15.0,20.0
12.5,15.0,0.08,12.5,15.0
7.82,15.0,0.17,12.5,10.0
12.12,22.0,0.24,22.0,22.0
15.0,15.0,0.08,15.0,15.0
13.64,20.0,0.12,12.5,30.0
9.06,11.0,0.57,10.2,20.0
10.5,6.0,0.14,15.0,10.0
22.0,25.0,0.13,25.0,25.0
13.75,20.0,0.1,20.0,20.0
21.33,10.0,0.11,20.5,10.0
11.0,20.0,0.18,14.0,25.0
17.4,20.0,0.09,20.0,20.0
8.0,10.0,0.35,7.2,5.0
23.67,40.0,0.12,34.67,36.0
6.18,8.0,0.24,8.0,10.0
5.27,5.0,0.24,5.0,5.0
4.0,3.0,0.25,4.2,3.0
6.35,10.0,0.45,9.17,3.0
7.0,10.0,0.17,7.5,7.0
7.36,11.0,0.21,9.5,10.0
22.5,25.0,0.08,22.5,25.0
15.0,15.0,0.08,15.0,15.0
4.0,6.0,0.2,4.75,4.0
19.67,25.0,0.38,19.67,26.0
13.71,15.0,0.11,15.0,15.0
21.0,10.0,0.11,30.0,50.0
6.0,7.0,0.26,6.0,6.0
15.0,20.0,0.16,20.0,20.0
7.83,15.0,0.24,9.83,10.0
9.27,15.0,0.23,9.75,10.0
15.0,10.0,0.11,22.5,17.0
11.19,15.0,0.49,15.17,15.0
6.48,12.0,0.44,9.25,12.0
16.5,10.0,0.17,10.0,10.0
17.89,28.0,0.21,27.8,25.0
9.33,10.0,0.21,11.75,11.0
11.64,20.0,0.19,20.0,20.0
10.82,14.0,0.19,12.0,5.0
8.67,15.0,0.13,10.0,32.0
17.14,25.0,0.17,18.75,25.0
20.0,20.0,0.07,20.0,20.0
13.82,10.0,0.17,10.0,20.0
6.08,12.0,0.17,11.0,12.0
7.79,11.0,0.21,10.0,12.0
5.0,5.0,0.32,4.2,10.0
16.27,23.0,0.16,23.0,23.0
20.0,25.0,0.12,20.0,20.0
5.0,5.0,0.25,8.0,5.0
14.2,25.0,0.15,16.5,25.0
40.0,25.0,0.1,33.33,25.0
11.67,10.0,0.12,11.67,25.0
21.6,25.0,0.17,25.0,25.0
12.0,17.0,0.12,16.0,17.0
13.33,20.0,0.09,20.0,25.0
4.22,3.0,0.27,3.29,5.0
14.5,19.0,0.11,18.0,24.0
11.25,25.0,0.13,11.25,10.0
17.23,10.0,0.37,28.33,40.0
9.15,10.0,0.2,8.75,10.0
6.6,7.0,0.23,6.75,12.0
9.76,10.0,0.39,14.25,10.0
16.0,17.0,0.08,17.0,20.0
10.55,18.0,0.16,0.0,20.0
20.0,20.0,0.09,20.0,25.0
9.0,10.0,0.15,9.0,10.0
8.2,11.0,0.13,9.67,11.0
10.0,20.0,0.11,10.0,15.0
8.67,15.0,0.15,15.0,21.0
4.33,10.0,0.21,10.0,10.0
4.89,5.0,0.86,5.67,7.0
15.0,15.0,0.06,15.0,15.0
9.44,10.0,0.23,10.0,10.0
12.5,15.0,0.15,13.33,20.0
9.0,25.0,0.11,25.0,25.0
20.72,25.0,0.24,29.0,30.0
17.5,25.0,0.09,17.5,40.0
24.78,25.0,0.17,25.0,10.0
38.0,33.0,0.16,87.5,43.0
12.83,20.0,0.1,20.0,20.0
5.85,5.0,0.2,6.83,6.0
11.67,15.0,0.09,15.0,51.0
11.67,15.0,0.19,14.0,15.0
200.0,200.0,0.03,200.0,100.0
4.94,2.0,0.17,8.0,10.0
12.33,15.0,0.11,15.0,21.0
7.43,20.0,0.13,20.0,20.0
16.0,20.0,0.12,16.0,20.0
15.0,15.0,0.12,15.0,15.0
8.92,12.0,0.23,10.25,10.0
10.82,15.0,0.16,13.75,11.0
4.0,5.0,0.43,5.0,5.0
5.79,5.0,0.3,6.5,5.0
14.0,17.0,0.12,16.0,22.0
23.12,25.0,0.12,25.0,25.0
9.67,10.0,0.17,11.67,5.0
16.55,32.0,0.15,16.0,25.0
20.0,20.0,0.07,20.0,5.0
5.2,6.0,0.2,6.0,8.0
14.08,26.0,0.18,25.5,25.0
7.82,11.0,0.19,9.6,5.0
22.5,25.0,0.08,22.5,30.0
25.0,25.0,0.1,25.0,40.0
10.0,15.0,0.1,15.0,21.0
11.31,18.0,0.37,14.67,17.0
11.46,16.0,0.28,13.62,14.0
12.25,20.0,0.09,20.0,25.0
15.0,15.0,0.08,15.0,50.0
5.55,6.0,0.26,6.75,5.0
5.0,8.0,0.19,5.4,7.0
12.5,15.0,0.12,12.5,12.0
10.0,10.0,0.28,10.0,7.0
7.21,10.0,0.21,9.0,10.0
17.5,25.0,0.1,25.0,25.0
13.8,20.0,0.15,20.0,20.0
15.0,15.0,0.08,15.0,21.0
16.25,25.0,0.13,18.33,35.0
12.06,20.0,0.23,18.0,20.0
6.62,0.0,0.2,7.33,10.0
7.44,12.0,0.16,11.33,11.0
15.0,15.0,0.08,15.0,21.0
11.55,15.0,0.22,13.33,14.0
11.67,15.0,0.1,15.0,15.0
6.62,10.0,0.17,7.5,4.0
24.06,32.0,0.23,29.0,25.0
17.0,10.0,0.1,25.0,23.0
12.0,20.0,0.09,15.0,20.0
5.14,3.0,0.24,5.5,5.0
7.86,10.0,0.22,8.17,10.0
10.69,10.0,0.21,11.0,10.0
6.0,7.0,0.21,6.83,7.0
12.57,17.0,0.15,17.0,25.0
8.53,15.0,0.22,15.0,10.0
13.0,16.0,0.1,13.0,16.0
12.0,16.0,0.2,15.0,16.0
13.11,30.0,0.23,27.5,35.0
5.0,10.0,0.26,8.5,26.0
5.92,6.0,0.34,6.0,6.0
11.67,20.0,0.12,13.33,10.0
8.79,10.0,0.32,10.6,10.0
8.68,9.0,0.93,10.0,9.0
32.92,50.0,0.16,50.0,50.0
15.0,15.0,0.08,15.0,21.0
23.12,35.0,0.11,12.5,12.0
10.0,15.0,0.1,10.0,10.0
4.78,5.0,0.2,5.5,5.0
20.0,20.0,0.07,20.0,20.0
4.57,10.0,0.26,4.6,10.0
3.04,3.0,0.42,3.22,3.0
8.77,10.0,0.22,10.0,14.0
7.33,10.0,0.15,7.33,10.0
9.57,15.0,0.12,12.33,15.0
7.84,10.0,0.21,10.8,11.0
7.05,10.0,0.24,10.0,10.0
5.08,9.0,0.19,7.67,9.0
17.5,20.0,0.07,17.5,30.0
13.33,15.0,0.26,26.33,21.0
13.0,20.0,0.12,19.0,20.0
24.0,25.0,0.17,24.0,31.0
12.0,25.0,0.12,15.0,25.0
12.5,20.0,0.11,12.5,50.0
8.36,12.0,0.46,11.0,10.0
11.4,15.0,0.13,14.0,21.0
6.2,14.0,0.24,8.6,9.0
16.11,30.0,0.13,27.5,25.0
5.8,5.0,0.16,6.5,11.0
28.0,30.0,0.1,27.5,100.0
12.81,16.0,0.2,15.67,21.0
7.36,11.0,0.37,9.33,8.0
19.52,30.0,0.28,26.88,25.0
14.87,15.0,0.15,23.0,10.0
4.21,10.0,0.37,6.67,10.0
5.94,6.0,0.44,5.88,4.0
5.73,4.0,0.32,6.43,8.0
15.22,27.0,0.14,24.0,32.0
15.0,5.0,0.1,20.0,5.0
4.0,3.0,0.22,4.0,4.0
15.0,15.0,0.08,15.0,20.0
14.82,20.0,0.15,18.0,20.0
15.25,20.0,0.13,15.25,23.0
25.0,25.0,0.08,25.0,30.0
7.29,9.0,0.21,8.2,8.0
25.0,25.0,0.09,25.0,25.0
5.71,5.0,0.37,6.25,5.0
11.67,15.0,0.1,15.0,25.0
14.0,20.0,0.12,14.0,20.0
5.3,10.0,0.26,9.33,10.0
6.6,6.0,0.27,6.67,15.0
22.38,35.0,0.2,25.88,33.0
4.5,5.0,0.27,4.67,4.0
12.7,20.0,0.16,20.0,10.0
19.92,28.0,0.19,27.0,30.0
12.92,15.0,0.2,15.0,15.0
8.64,5.0,0.25,10.75,15.0
13.0,19.0,0.18,18.0,20.0
10.71,10.0,0.24,11.8,11.0
6.0,10.0,0.24,7.33,5.0
15.06,25.0,0.23,18.33,50.0
4.27,5.0,0.26,5.0,11.0
